country,poulacija
North America,"45,659,331"
Bermuda,"6,827"
Canada,"3,375,974"
Greenland,"5,764"
Mexico,"11,246,886"
Saint Pierre and Miquelon,594
United States,"31,023,286"
Central & South America,"48,001,228"
Antarctica,0
Antigua and Barbuda,"8,675"
Argentina,"413,432"
Aruba,"10,459"
Bahamas,"31,043"
Barbados,"28,565"
Belize,"31,452"
Bolivia,"994,742"
Brazil,"20,110,333"
Cayman Islands,"5,021"
Chile,"1,674,649"
Colombia,"4,420,529"
Costa Rica,"451,622"
Cuba,"1,147,746"
Dominica,"7,281"
Dominican Republic,"982,382"
Ecuador,"1,479,061"
El Salvador,"605,206"
Falkland Islands (Islas Malvinas),314
French Guiana,"19,131"
Grenada,"10,782"
Guadeloupe,"44,452"
Guatemala,"1,355,044"
Guyana,"74,849"
Haiti,"964,892"
Honduras,"798,942"
Jamaica,"284,723"
Martinique,426
Montserrat,512
Netherlands Antilles,"22,869"
Nicaragua,"599,593"
Panama,"341,068"
Paraguay,"637,583"
Peru,"29,907"
Puerto Rico,"39,787"
Saint Kitts and Nevis,499
Saint Lucia,"16,092"
Saint Vincent/Grenadines,"10,422"
Suriname,"48,662"
Trinidad and Tobago,"122,869"
Turks and Caicos Islands,"2,353"
Uruguay,"351,039"
Venezuela,"2,722,323"
Virgin Islands  U.S.,"10,975"
Virgin Islands British,"2,494"
Europe,"60,600,344"
Albania,"298,695"
Austria,"821,416"
Belgium,"1,042,349"
Bosnia and Herzegovina,"46,216"
Bulgaria,"714,879"
Croatia,"448,688"
Cyprus,"110,268"
Czech Republic,"1,020,171"
Denmark,"551,558"
Faroe Islands,"4,906"
Finland,"525,507"
France,"6,333,964"
Germany,"8,228,299"
Gibraltar,"2,888"
Greece,"1,074,994"
Hungary,"999,234"
Iceland,"30,891"
Ireland,"462,292"
Italy,"5,812,216"
Luxembourg,"49,754"
Macedonia,"207,209"
Malta,"40,677"
Montenegro,"66,673"
Netherlands,"1,678,309"
Norway,"467,631"
Poland,"3,846,369"
Portugal,"1,073,577"
Romania,"2,195,928"
Serbia,"91,599"
Slovakia,"547,031"
Slovenia,"200,314"
Spain,"4,650,596"
Sweden,"907,406"
Switzerland,"765,844"
Turkey,"7,780,412"
United Kingdom,"6,261,254"
Eurasia,"28,292,477"
Armenia,"29,668"
Azerbaijan,"830,351"
Belarus,"961,263"
Estonia,"129,117"
Georgia,"460,083"
